#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321AD0E90
#Date Time: 2022-03-08 16:30:32.353
#Start: 1 Hz
#Stop: 1e+06 Hz
#Steps: 51
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.5249 V
#Offset: 0.000286236 V
#Relative: no
#Channel: Channel 2
#Range: 5.59319 V
#Offset: -0.00022711 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000002,0.001742579718798448,9.010056755106937,-107.1748343625336
1.31825673855641,0.001089500284732778,11.13310641562181,-111.9540791218699
1.73780082874938,0.002005959659870928,13.10499285943066,-117.7648590121861
2.290867652767779,0.001423728069016879,14.86351779258109,-124.5761614365679
3.019951720402019,0.001834992685924035,16.1590575243495,-132.0984968752893
3.981071705534978,0.001296620195837731,16.97430957287577,-139.8562286823486
5.248074602497734,0.0006933966569967494,17.52727865881739,-147.38954027399
6.918309709189377,0.0002749329297783171,17.79754780737472,-154.5876118598416
9.120108393559114,-3.388632599964603e-05,17.92563782708602,-160.5599531687669
12.02264434617413,5.517483645575383e-05,17.99140843748113,-165.2732050704503
15.84893192461114,-0.0002252924851830332,18.02803395470599,-168.9487772518399
20.89296130854041,-0.0005871203124681808,18.03333208543912,-171.8070846040661
27.54228703338169,3.837298340623227e-05,18.03092342064177,-173.1128280130465
36.30780547701018,0.0009871797285916858,18.06150212085226,-174.5830182495889
47.8630092322639,0.0006726208593030511,18.07478160745719,-175.9812545403554
63.09573444801943,0.0006173644193374396,18.07766633382925,-177.0056525794478
83.17637711026725,0.0003400678262841463,18.08019840208403,-177.8092622162289
109.6478196143187,0.001421403847595631,18.08812612067856,-178.4212208741259
144.5439770745929,-0.0002988569334204428,18.08886790489332,-178.9655998692972
190.546071796325,-0.001081626725504052,18.09395292204253,-179.4443232786491
251.1886431509585,-0.000808405697635512,18.09448483497993,-179.8442558270307
331.1311214825911,-0.0003605322705545482,18.09180998241705,179.7542099659108
436.5158322401661,-0.001229519842951564,18.09357013771706,179.3184168442446
575.4399373371572,-0.0001218472149952166,18.09534866439956,178.8277575238844
758.5775750291843,0.0001515201164341763,18.0913728912336,178.2387545819762
1000.000000000001,-0.002800390730276114,18.0923137783091,177.5220442532814
1318.256738556409,-0.0007527942084680302,18.092467162244,176.6037844919897
1737.800828749378,0.0008467298292061874,18.09111759230488,175.4056053295702
2290.867652767777,0.005468245940724007,18.08256914639362,173.8869105416907
3019.951720402016,0.01012036138096251,18.07020482342812,171.9199362642431
3981.071705534973,0.00796827159414313,18.05039723714273,169.3744616618642
5248.074602497728,0.01271822829785116,18.02062965102464,166.1105777919835
6918.30970918937,0.01680648852051657,17.95817285459087,161.9255814241425
9120.108393559105,0.01955517360290201,17.86425717225941,156.6370318809021
12022.64434617414,0.03663929949640748,17.70726105536761,150.048681497971
15848.93192461113,0.04636314884611928,17.30833950943192,142.8464882935715
20892.96130854039,0.04940141675364867,16.63190347388938,134.934597925768
27542.28703338168,0.06008690760525529,15.64123358375644,126.9310401689762
36307.80547701016,0.07047692938209292,14.04270656978895,119.3486714606366
47863.00923226388,0.07630781296235686,12.14054124096061,112.6429754285863
63095.7344480194,0.0864411959699396,10.06215100259246,106.8804201874321
83176.37711026709,0.0944851064973595,7.861301600043388,102.0823854810586
109647.8196143185,0.111420534970053,5.590183926205233,97.98982489701248
144543.9770745928,0.1265545088556118,3.266156725097654,94.43526571437039
190546.0717963248,0.130600561959957,0.9288665587632701,91.23763900361928
251188.6431509582,0.1126469508995002,-1.39674823311069,88.11454947280296
331131.1214825913,0.1088591540545937,-3.700456570565456,84.91515402014119
436515.8322401657,0.106754619595782,-5.941894660653197,81.36999924392015
575439.9373371567,0.1237137065906144,-8.073852315459888,77.30820391771391
758577.5750291836,0.1844994366956394,-10.07381531262728,72.70561489284705
1000000,0.3133330245572735,-11.84875538204586,67.94295186892191
