#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321AD0E90
#Date Time: 2022-02-08 12:55:13.149
#Start: 2 Hz
#Stop: 200 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.5249 V
#Offset: 0.99994 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB)
2,-0.5458148767043274
2.062354549186111,-0.5428665215777597
2.126653143274322,-0.5388872719345319
2.19295639228637,-0.5350130519198549
2.261326795899278,-0.5310920206686065
2.331828802359663,-0.5269770222742692
2.404528869234826,-0.5222999232657251
2.479495526057888,-0.5174731012416252
2.556799438926047,-0.5122308636950793
2.636513477112815,-0.5071425300393732
2.718712781757051,-0.5011436510675773
2.80347483669354,-0.4950164176054469
2.890879541491854,-0.4881260761918061
2.981009286772392,-0.4783255697165916
3.073949031870543,-0.470483460046694
3.169786384922227,-0.4623815304229938
3.268611685446275,-0.4536291139759277
3.370518089501502,-0.4447591182672151
3.475601657498751,-0.4353824209651663
3.583961444750668,-0.4251794788675871
3.695699594844581,-0.4148741894450954
3.810921435926494,-0.403994488115949
3.929735579986936,-0.3909860063794957
4.052254025242286,-0.3810352133425527
4.178592261708079,-0.3678148699062324
4.308869380063767,-0.3549423987020713
4.443208183911623,-0.3414369678153553
4.581735305535545,-0.3270143264061696
4.724581325268923,-0.3077136978107955
4.871880894584054,-0.2850114091998421
5.023772863019158,-0.2684479718512485
5.180400409062648,-0.2511922418822877
5.34191117511797,-0.2350486025279737
5.508457406676333,-0.2151774436234271
5.68019609582843,-0.196431216176146
5.857289129250474,-0.1776799401819083
6.039903440804032,-0.1583718846964684
6.22821116889352,-0.1525889270725936
6.422389818729648,-0.1353409317867537
6.622622429651822,-0.1160720322371456
6.829097747667201,-0.1016982798682346
7.042010403369038,-0.08279413178146966
7.261561095402028,-0.06457519616002921
7.487956779647622,-0.04600913470399501
7.721410864307626,-0.02829568148885379
7.962143411069947,-0.01066153143198239
8.210381342546157,0.006169635152991945
8.466358656176418,0.02230081604903025
8.730316644803322,0.03775097130384232
9.002504124122673,0.05279828098376485
9.283177667225555,0.06773763309782338
9.57260184645277,0.0821424364867117
9.871049482789612,0.09188163035753827
10.17880190303618,0.1051743202829407
10.49614920499545,0.1161970799854451
10.82339053092928,0.1279035726606205
11.16083434953993,0.1360998104061785
11.50879874674314,0.1447424239499164
11.86761172550656,0.1475781996005554
12.23761151503644,0.1400340442739772
12.61914688960387,0.1231371709082863
13.01257749731115,0.09549062223761096
13.41827419910822,0.05209053056355325
13.83661941837873,-0.004836558853964606
14.26800750142513,-0.07305927210817162
14.71284508919283,-0.1522040472159409
15.17155150058367,-0.2370101323339449
15.64455912772005,-0.326212360387502
16.13231384353227,-0.4234773518616159
16.63527542205342,-0.5256914442796918
17.15391797181788,-0.6325670994996369
17.688730382772,-0.7446013507884401
18.24021678711819,-0.8624148020331437
18.80889703452704,-0.9860192942188518
19.39530718216499,-1.11575708437302
20,-1.251531933555831
20.62354549186111,-1.394165799842859
21.26653143274322,-1.54198161411606
21.9295639228637,-1.695104545404266
22.61326795899278,-1.854948604845404
23.31828802359663,-2.022129857826079
24.04528869234826,-2.201894938926404
24.79495526057888,-2.386661669750115
25.56799438926047,-2.575452154652995
26.36513477112815,-2.770705238663012
27.18712781757051,-2.980320718580463
28.0347483669354,-3.214574388007917
28.90879541491854,-3.474185742274483
29.81009286772392,-3.752305123219636
30.73949031870544,-4.043199288351746
31.69786384922227,-4.340811174222333
32.68611685446275,-4.64186293475641
33.70518089501502,-4.942019716386045
34.75601657498751,-5.238447763852782
35.83961444750668,-5.533581712205125
36.95699594844582,-5.819651110877731
38.10921435926495,-6.102352199887057
39.29735579986934,-6.385492740571098
40.52254025242286,-6.674034220358878
41.78592261708079,-6.974150963862894
43.08869380063767,-7.293786246428045
44.43208183911624,-7.647850925275003
45.81735305535547,-8.048753875720202
47.24581325268923,-8.526534393049394
48.71880894584054,-9.162704041330892
50.23772863019159,-10.23433795839047
51.80400409062648,-11.86029248314348
53.41911175117971,-14.36501703310803
55.08457406676332,-17.91124626990756
56.8019609582843,-21.29288813982383
58.57289129250471,-23.33139414140349
60.39903440804032,-23.34783046330898
62.2821116889352,-22.15384991774775
64.22389818729644,-20.71793271270208
66.22622429651823,-19.38598763376685
68.29097747667205,-18.21944217729542
70.42010403369038,-17.20241760397762
72.61561095402028,-16.30796814422766
74.87956779647621,-15.5147184717069
77.21410864307626,-14.80191879323768
79.62143411069947,-14.15222031146438
82.10381342546157,-13.55705153261241
84.66358656176418,-13.00811495469812
87.30316644803318,-12.4961788038366
90.02504124122673,-12.01464728869545
92.8317766722556,-11.56340758438607
95.72601846452766,-11.13734109012053
98.71049482789613,-10.73325508295206
101.7880190303618,-10.34970732497467
104.9614920499545,-9.984558627202201
108.2339053092928,-9.635734754301366
111.6083434953993,-9.317659131203387
115.0879874674314,-8.999119775330342
118.6761172550656,-8.693065098152726
122.3761151503644,-8.410848406860804
126.1914688960387,-8.153913873132481
130.1257749731114,-7.926731080457397
134.1827419910823,-7.730742154199301
138.3661941837873,-7.570746382316131
142.6800750142512,-7.428378756274821
147.1284508919283,-7.306869194671584
151.7155150058367,-7.201240718700006
156.4455912772005,-7.117054117736648
161.3231384353227,-7.033663111591317
166.3527542205342,-6.964673146357928
171.5391797181788,-6.902443645113852
176.88730382772,-6.845807264494919
182.4021678711819,-6.794753725796325
188.0889703452704,-6.754030375278743
193.9530718216498,-6.714903635314965
200,-6.678710259732945
